month,long_ticker,short_ticker,cluster,mom1_diff
2018-05-01,SLB,COP,12,0.046373942614719166
2018-05-01,COP,EOG,12,0.01959887954167172
2018-05-01,KMI,OKE,13,0.008609942068454668
2018-05-01,AEP,DUK,14,0.014470309607115928
2018-05-01,NEE,SO,15,0.029291366646317263
2018-05-01,NEE,EIX,15,0.025833045333085503
2018-05-01,EIX,SO,15,0.0034583213132317603
2018-06-01,SBUX,AAPL,0,0.14543028494082966
2018-06-01,MSFT,AAPL,0,0.07358805334587526
2018-06-01,SBUX,MSFT,0,0.0718422315949544
2018-06-01,TMUS,NKE,1,0.12936861576254344
2018-06-01,CSCO,INTC,2,0.11110493789153308
2018-06-01,HD,INTC,2,0.060220571075556784
2018-06-01,CSCO,HD,2,0.0508843668159763
2018-06-01,GE,BA,3,0.06027533760944159
2018-06-01,ITW,BA,3,0.0488847879810006
2018-06-01,GE,RTX,3,0.04396125341103585
2018-06-01,ETN,EMR,4,0.043802695765137845
2018-06-01,ETN,CAT,4,0.022132670715324654
2018-06-01,CAT,EMR,4,0.02167002504981319
2018-06-01,TSLA,META,5,0.1461994406251116
2018-06-01,AMZN,META,5,0.07446058117780785
2018-06-01,TSLA,AMZN,5,0.07173885944730374
2018-06-01,USB,WFC,6,0.05595582318566161
2018-06-01,JPM,COF,7,0.05816871351856523
2018-06-01,GS,BAC,8,0.023635474369699594
2018-06-01,GS,MS,8,0.02029845999527502
2018-06-01,MS,BAC,8,0.003337014374424574
2018-06-01,JNJ,MDT,9,0.12463035493296615
2018-06-01,JNJ,ABT,9,0.10585159305750858
2018-06-01,LMT,MDT,9,0.09064366762887999
2018-06-01,CVX,XOM,10,0.053398983246881304
2018-06-01,EOG,COP,11,0.035907817899768935
2018-06-01,SLB,COP,11,0.031448023637406175
2018-06-01,EOG,SLB,11,0.0044597942623627596
2018-06-01,KMI,OKE,12,0.07739372724407145
2018-06-01,CL,PG,13,0.0442546913680848
2018-06-01,CL,PEP,13,0.03510750341896185
2018-06-01,CL,KO,13,0.027944909700495235
2018-06-01,VZ,T,14,0.02235250368165198
2018-06-01,DUK,AEP,15,0.006033404036331791
2018-06-01,EIX,SO,16,0.03842191865486122
2018-07-01,SBUX,MSFT,0,0.13574173127464273
2018-07-01,SBUX,AAPL,0,0.1286729533576586
2018-07-01,AAPL,MSFT,0,0.007068777916984126
2018-07-01,TMUS,NKE,1,0.040157284979803975
2018-07-01,INTC,CSCO,2,0.1069109679128204
2018-07-01,BLK,RTX,3,0.062495536665215456
2018-07-01,BLK,MMM,3,0.05814459264637051
2018-07-01,BA,RTX,3,0.048893077838604526
2018-07-01,CAT,EMR,4,0.08284783621149772
2018-07-01,CAT,ETN,4,0.08273338909983463
2018-07-01,ETN,EMR,4,0.00011444711166308519
2018-07-01,META,TSLA,5,0.1912283158321173
2018-07-01,AMZN,TSLA,5,0.16140740383136687
2018-07-01,META,AMZN,5,0.029820912000750432
2018-07-01,LMT,UNH,6,0.08008502041247156
2018-07-01,LMT,TMO,6,0.05623393845566693
2018-07-01,LMT,MDT,6,0.05257266964102192
2018-07-01,ABBV,GILD,7,0.12305359304672792
2018-07-01,ABBV,JNJ,7,0.07804760638443631
2018-07-01,ABBV,PFE,7,0.07331098918366064
2018-07-01,JPM,COF,8,0.003987839214494748
2018-07-01,MS,GS,9,0.031174003619805934
2018-07-01,MS,BAC,9,0.025294147008890655
2018-07-01,BAC,GS,9,0.0058798566109152794
2018-07-01,CL,PEP,10,0.058639610574747536
2018-07-01,KO,PEP,10,0.05678520479453697
2018-07-01,CL,PG,10,0.03960370793687784
2018-07-01,T,VZ,11,0.061844929720608954
2018-07-01,CVX,XOM,12,0.001061307937871625
2018-07-01,SLB,EOG,13,0.0726007036154398
2018-07-01,SLB,COP,13,0.04984744313789957
